seed,trapped_us_b,elapsed_sec
0,281.8941097778852,44.0092855
1,290.1563359838316,13.251434166000003
2,255.65039621454054,14.309665832999997
3,253.79647454205025,16.779776958
4,268.4334813845909,24.28262699999999
5,268.1153416935582,21.229302542
6,260.57898057778374,13.502626834000012
7,271.1735267570607,14.535558000000009
8,285.3500482351762,19.23218937499999
9,264.6829418534238,16.208116332999992
10,278.26426989831464,15.601205584000013
11,283.3245109739231,14.53201812499998
12,263.7332953217024,18.150797375000025
13,251.4211433200939,12.710067750000007
14,282.52561817363465,14.262415583999996
15,283.8513269280627,22.537328207999963
16,279.1313962895568,30.34543199999996
17,258.4272711520716,37.53116804199999
18,265.0104551014249,20.39401641699999
19,290.2232216229038,14.263251208999975
20,254.65938367044242,21.435733959000004
21,293.0436949532618,15.697563958000046
22,314.29668738006575,13.650030958999992
23,270.4300990331147,18.337801582999987
24,286.9943813634048,28.426550625000004
25,317.46721476411216,19.900434791999942
26,232.82985679638847,23.26981724999996
27,290.333819053383,22.031882124999925
28,224.01145768536378,12.792366792000053
29,275.47234622874396,14.034885625000015
30,291.0354628358132,10.421381459000031
31,317.55955642101117,20.45208341600005
32,283.51783752752203,24.318433583
33,271.43618543780593,14.502020124999945
34,228.31907374054947,25.98225283399995
35,280.6164258061708,14.579386125000042
36,279.3777469160958,27.538017957999955
37,314.1525626097813,16.190403292000042
38,234.48496821603757,14.518152458000031
39,245.1576421836559,14.44138379200001
40,298.8672571995621,18.849180624999917
41,251.7822674603374,15.13521179199995
42,257.58552420532675,12.238538415999983
43,318.94147803677254,13.737219167000035
44,276.9403422152021,19.446472958999948
45,259.1170360101527,44.682385041999964
46,270.4127470305616,14.30426245800004
47,315.16154610013183,25.40976166600001
48,293.4094079065436,15.199022416999924
49,304.1677172347294,14.017647083000043
